o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:description,dcterms:type,dcterms:educationLevel,foaf:mbox,foaf:gender,foaf:firstName,foaf:familyName,foaf:phone,foaf:member,foaf:status,fup8:code,fup8:ects,fup8:semestre,fup8:coef,fup8:vhec,fup8:vhch,fup8:cch,fup8:pcCM,fup8:pcTD,fup8:pcTP,fup8:sd,fup8:libre,fup8:mutuaDst,fup8:mutuaSrc,fup8:nbg,fup8:hasUE,fup8:hasParcours,fup8:hasHeadTeacher,fup8:hasAgenda,rome:accesEmploi,rome:hasAppellation,rome:code,rome:libelle,rome:definition,rome:riasecMajeur,rome:riasecMineur,rome:transitionEcologiqueDetaillee,rome:codeIsco,rome:hasDomaineProfessionnel,rome:grandDomaine,rome:libelleCourt,rome:classification,rome:hasCompetenceCle,rome:type,rome:codeOgr,rome:hasTheme,rome:hasCentreInteret,rome:hasSecteurActivite,rome:hasCompetenceMobilisee,rome:hasCompetenceMobiliseePrincipale,rome:hasNaf,rome:hasFormacode,rome:hasContexteTravail,rome:categorie
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11119,"Architecte fonctionnel / fonctionnelle de système d'information",,,,,,,,"Architecte fonctionnel(le) de système d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 91 | Présenter les évolutions du système d'information au commanditaire : 87 | Recenser les besoins du commanditaire : 85 | Analyser les processus métier : 82 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18835,"Responsable de projets « métiers » système d'information",,,,,,,,"Responsable de projets « métiers » système d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 96 | Présenter les évolutions du système d'information au commanditaire : 81 | Recenser les besoins du commanditaire : 83 | Analyser les processus métier : 87 | Concevoir et gérer un projet : 89",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14952,"Expert / Experte métier système d'information",,,,,,,,"Expert / Experte métier système d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 94 | Recenser les besoins du commanditaire : 75 | Analyser les processus métier : 85 | Concevoir et gérer un projet : 66",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11288,"Assistant fonctionnel / Assistante fonctionnelle des systèmes d'information",,,,,,,,"Assistant(e) fonctionnel(le) des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 96 | Recenser les besoins du commanditaire : 87 | Analyser les processus métier : 87 | Concevoir des supports de communication et d'image : 59 | Concevoir et gérer un projet : 75",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19208,"Responsable utilisateurs des systèmes d'information",,,,,,,,"Responsable utilisateurs des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 100 | Recenser les besoins du commanditaire : 100 | Analyser les processus métier : 100 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13553,"Consultant / Consultante réseaux informatiques",,,,,,,,"Consultant / Consultante réseaux informatiques",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 95 | Recenser les besoins du commanditaire : 95 | Analyser les processus métier : 95 | Concevoir et gérer un projet : 58",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13544,"Consultant fonctionnel / Consultante fonctionnelle de progiciel",,,,,,,,"Consultant(e) fonctionnel(le) de progiciel",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 95 | Présenter les évolutions du système d'information au commanditaire : 90 | Recenser les besoins du commanditaire : 95 | Analyser les processus métier : 94 | Concevoir et gérer un projet : 53",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12252,"Chef de projet Maîtrise d'Ouvrage - MOA des systèmes d'information",,,,,,,,"Chef de projet Maîtrise d'Ouvrage - MOA syst. d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 98 | Présenter les évolutions du système d'information au commanditaire : 83 | Recenser les besoins du commanditaire : 85 | Analyser les processus métier : 85 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13546,"Consultant / Consultante informatique",,,,,,,,"Consultant / Consultante informatique",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 98 | Présenter les évolutions du système d'information au commanditaire : 91 | Recenser les besoins du commanditaire : 93 | Analyser les processus métier : 93 | Concevoir et gérer un projet : 68",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13540,"Consultant / Consultante en système d'information",,,,,,,,"Consultant / Consultante en système d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 88 | Présenter les évolutions du système d'information au commanditaire : 90 | Recenser les besoins du commanditaire : 92 | Analyser les processus métier : 89 | Concevoir et gérer un projet : 90",,,,,,,,,,,
